	id	price	area	district	city	type	segment	condominium	iptu	rooms	box	url	date
0	5655	NA	70.26	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/5655/residencial-porto-alegre-mont-serrat-apartamento-jardins-de-avignon-2-dormitorios-zona-norte	2019-07-29
1	7932	670000	74.43	Mont Serrat	Porto Alegre	Apartamento	Residencial	717	1400	2	1	http://www.foxterciaimobiliaria.com.br/imovel/7932/residencial-porto-alegre-mont-serrat-apartamento-condado-de-lugano-2-dormitorios-zona-sul	2019-07-29
2	121798	990000	104.83	Bela Vista	Porto Alegre	Apartamento	Residencial	800	3070	3	2	http://www.foxterciaimobiliaria.com.br/imovel/121798/residencial-porto-alegre-bela-vista-apartamento-residenza-positano-3-dormitorios-zona-norte	2019-07-29
3	151658	NA	216.46	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/151658/residencial-porto-alegre-auxiliadora-apartamento-ilha-bela-3-dormitorios-zona-norte	2019-07-29
4	187326	1750000	203.37	Bela Vista	Porto Alegre	Apartamento	Residencial	1850	4500	4	3	http://www.foxterciaimobiliaria.com.br/imovel/187326/residencial-porto-alegre-bela-vista-apartamento-edificio-victria-park-4-dormitorios-zona-norte	2019-07-29
5	183699	1800000	138.79	Bela Vista	Porto Alegre	Apartamento	Residencial	1100	3600	3	3	http://www.foxterciaimobiliaria.com.br/imovel/183699/residencial-porto-alegre-bela-vista-apartamento-edifcio-solar-drumond-3-dormitorios-zona-norte	2019-07-29
6	188955	1850000	270.531	Bela Vista	Porto Alegre	Apartamento	Residencial	1400	7000	3	4	http://www.foxterciaimobiliaria.com.br/imovel/188955/residencial-porto-alegre-bela-vista-apartamento-edifcio-punta-del-este-3-dormitorios-zona-norte	2019-07-29
7	177548	1925000	154.11	Auxiliadora	Porto Alegre	Apartamento	Residencial	1000	4000	3	4	http://www.foxterciaimobiliaria.com.br/imovel/177548/residencial-porto-alegre-auxiliadora-apartamento-cndido-58-3-dormitorios-zona-norte	2019-07-29
8	176738	1900000	113.03	Auxiliadora	Porto Alegre	Apartamento	Residencial	1400	4300	3	4	http://www.foxterciaimobiliaria.com.br/imovel/176738/residencial-porto-alegre-auxiliadora-apartamento-green-park-3-dormitorios-zona-norte	2019-07-29
9	177370	NA	41.95	Boa Vista	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/177370/residencial-porto-alegre-mont-serrat-apartamento-anita-residence-1-dormitorios-zona-norte	2019-07-29
10	178738	345000	72	Auxiliadora	Porto Alegre	Apartamento	Residencial	430	1100	2	1	http://www.foxterciaimobiliaria.com.br/imovel/178738/residencial-porto-alegre-auxiliadora-apartamento-edifcio-nara-2-dormitorios-zona-norte	2019-07-29
11	165271	380000	64.2	Mont Serrat	Porto Alegre	Apartamento	Residencial	299	554	2	1	http://www.foxterciaimobiliaria.com.br/imovel/165271/residencial-porto-alegre-mont-serrat-apartamento-condomnio-lucerna-2-dormitorios-zona-norte	2019-07-29
12	177355	850000	154.17	Bela Vista	Porto Alegre	Apartamento	Residencial	1190	3806	3	2	http://www.foxterciaimobiliaria.com.br/imovel/177355/residencial-porto-alegre-bela-vista-apartamento-saint-germain-3-dormitorios-zona-norte	2019-07-29
13	177350	2250000	154	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/177350/residencial-porto-alegre-auxiliadora-apartamento-candido-58-3-dormitorios-zona-norte	2019-07-29
14	13686	NA	269.58	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/13686/residencial-porto-alegre-mont-serrat-apartamento-pompidou-boulevard-3-dormitorios-zona-norte	2019-07-29
15	5154	2650000	165.33	Bela Vista	Porto Alegre	Apartamento	Residencial	1800	4500	3	4	http://www.foxterciaimobiliaria.com.br/imovel/5154/residencial-porto-alegre-bela-vista-apartamento-madero-antonio-parreiras-3-dormitorios-zona-norte	2019-07-29
16	181687	3250000	269.47	Bela Vista	Porto Alegre	Apartamento	Residencial	3500	6000	5	4	http://www.foxterciaimobiliaria.com.br/imovel/181687/residencial-porto-alegre-bela-vista-apartamento-5-dormitorios-zona-norte	2019-07-29
17	174878	3300000	333.11	Bela Vista	Porto Alegre	Apartamento	Residencial	1800	3000	4	4	http://www.foxterciaimobiliaria.com.br/imovel/174878/residencial-porto-alegre-bela-vista-apartamento-edifcio-montbleau-4-dormitorios-zona-norte	2019-07-29
18	156012	NA	96	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/156012/residencial-porto-alegre-mont-serrat-apartamento-saint-patrick-2-dormitorios-zona-norte	2019-07-29
19	177305	1400000	154.17	Bela Vista	Porto Alegre	Apartamento	Residencial	1190	3806	3	3	http://www.foxterciaimobiliaria.com.br/imovel/177305/residencial-porto-alegre-bela-vista-apartamento-saint-germain-3-dormitorios-zona-norte	2019-07-29
20	177293	NA	148	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/177293/residencial-porto-alegre-mont-serrat-apartamento-cabo-blanco-3-dormitorios-zona-norte	2019-07-29
21	177118	NA	117.15	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/177118/residencial-porto-alegre-bela-vista-apartamento-raul-de-leoni-3-dormitorios-zona-norte	2019-07-29
22	174090	NA	141	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	1	http://www.foxterciaimobiliaria.com.br/imovel/174090/residencial-porto-alegre-auxiliadora-apartamento-residencial-claudia-3-dormitorios-zona-norte	2019-07-29
23	177051	NA	91.25	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	2	http://www.foxterciaimobiliaria.com.br/imovel/177051/residencial-porto-alegre-mont-serrat-apartamento-principe-de-greenfield-2-dormitorios-zona-norte	2019-07-29
24	176701	NA	107	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	1	http://www.foxterciaimobiliaria.com.br/imovel/176701/residencial-porto-alegre-auxiliadora-apartamento-3-dormitorios-zona-norte	2019-07-29
25	157831	630000	105.54	Higienópolis	Porto Alegre	Apartamento	Residencial	350	1800	3	1	http://www.foxterciaimobiliaria.com.br/imovel/157831/residencial-porto-alegre-auxiliadora-apartamento-edificio-serracena-3-dormitorios-zona-norte	2019-07-29
26	176465	NA	100	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	2	2	http://www.foxterciaimobiliaria.com.br/imovel/176465/residencial-porto-alegre-bela-vista-apartamento-villa-di-nuga-2-dormitorios-zona-norte	2019-07-29
27	176367	NA	60.58	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/176367/residencial-porto-alegre-mont-serrat-apartamento-edificio-sao-carlos-2-dormitorios-zona-norte	2019-07-29
28	173718	NA	164	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/173718/residencial-porto-alegre-mont-serrat-apartamento-ancorage-3-dormitorios-zona-norte	2019-07-29
29	176175	1350000	197.86	Auxiliadora	Porto Alegre	Apartamento	Residencial	2330	4800	3	3	http://www.foxterciaimobiliaria.com.br/imovel/176175/residencial-porto-alegre-auxiliadora-apartamento-edificio-estrela-ballena-3-dormitorios-zona-norte	2019-07-29
30	176286	NA	67.91	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/176286/residencial-porto-alegre-auxiliadora-apartamento-saint-barth-2-dormitorios-zona-norte	2019-07-29
31	176263	NA	54.26	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/176263/residencial-porto-alegre-mont-serrat-apartamento-lincoln-suites-1-dormitorios-zona-norte	2019-07-29
32	176242	NA	46.18	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/176242/residencial-porto-alegre-bela-vista-apartamento-edificio-recanto-uba-1-dormitorios-zona-norte	2019-07-29
33	176061	NA	179.04	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/176061/residencial-porto-alegre-auxiliadora-apartamento-3-dormitorios-zona-norte	2019-07-29
34	162268	NA	101.72	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/162268/residencial-porto-alegre-auxiliadora-apartamento-palazzo-di-giorgio-2-dormitorios-zona-norte	2019-07-29
35	173365	NA	105.54	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/173365/residencial-porto-alegre-auxiliadora-apartamento-edificio-serracena-3-dormitorios-zona-norte	2019-07-29
36	176169	NA	39.44	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	"
 0
 1
 2
 3
 4+
"	1	http://www.foxterciaimobiliaria.com.br/imovel/176169/residencial-porto-alegre-auxiliadora-apartamento-trend-24-residence-zona-norte	2019-07-29
37	175852	355000	67	Bela Vista	Porto Alegre	Apartamento	Residencial	180	773	1	1	http://www.foxterciaimobiliaria.com.br/imovel/175852/residencial-porto-alegre-bela-vista-apartamento-edificio-solar-locatelli-1-dormitorios-zona-norte	2019-07-29
38	10283	299000	42.1	Bela Vista	Porto Alegre	Apartamento	Residencial	270	700	1	1	http://www.foxterciaimobiliaria.com.br/imovel/10283/residencial-porto-alegre-bela-vista-apartamento-edifcio-alfa-1-dormitorios-zona-norte	2019-07-29
39	5139	NA	84.7	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/5139/residencial-porto-alegre-auxiliadora-apartamento-edificio-ilha-de-capri-2-dormitorios-zona-norte	2019-07-29
40	175091	NA	219.61	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/175091/residencial-porto-alegre-bela-vista-apartamento-cortina-d-ampezzo-3-dormitorios-zona-norte	2019-07-29
41	175945	NA	82.73	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/175945/residencial-porto-alegre-mont-serrat-apartamento-via-appia-2-dormitorios-zona-norte	2019-07-29
42	175542	NA	192.93	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/175542/residencial-porto-alegre-bela-vista-apartamento-palazzo-sasso-3-dormitorios-zona-norte	2019-07-29
43	174136	1600000	179.5	Bela Vista	Porto Alegre	Apartamento	Residencial	1400	2800	3	3	http://www.foxterciaimobiliaria.com.br/imovel/174136/residencial-porto-alegre-bela-vista-apartamento-edificio-solar-vitoria-3-dormitorios-zona-norte	2019-07-29
44	175719	2480000	304.11	Bela Vista	Porto Alegre	Apartamento	Residencial	2000	8000	3	4	http://www.foxterciaimobiliaria.com.br/imovel/175719/residencial-porto-alegre-bela-vista-apartamento-villa-pablo-picasso-3-dormitorios-zona-norte	2019-07-29
45	174878	3300000	333.11	Bela Vista	Porto Alegre	Apartamento	Residencial	1800	3000	4	4	http://www.foxterciaimobiliaria.com.br/imovel/174878/residencial-porto-alegre-bela-vista-apartamento-edificio-montbleau-4-dormitorios-zona-norte	2019-07-29
46	174560	790000	121.18	Mont Serrat	Porto Alegre	Apartamento	Residencial	798	2030	3	2	http://www.foxterciaimobiliaria.com.br/imovel/174560/residencial-porto-alegre-mont-serrat-apartamento-maison-de-la-villette-3-dormitorios-zona-norte	2019-07-29
47	144474	NA	141	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/144474/residencial-porto-alegre-mont-serrat-apartamento-via-tito-livio-3-dormitorios-zona-norte	2019-07-29
48	175227	NA	154	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/175227/residencial-porto-alegre-bela-vista-apartamento-acropole-3-dormitorios-zona-norte	2019-07-29
49	175769	NA	201.58	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/175769/residencial-porto-alegre-bela-vista-apartamento-arte-bela-vista-3-dormitorios-zona-norte	2019-07-29
50	100857	2750000	370.34	Bela Vista	Porto Alegre	Apartamento	Residencial	2000	2800	4	4	http://www.foxterciaimobiliaria.com.br/imovel/100857/residencial-porto-alegre-bela-vista-apartamento-residencial-villa-di-abarno-4-dormitorios-zona-norte	2019-07-29
51	174610	2500000	283.526	Bela Vista	Porto Alegre	Apartamento	Residencial	4000	8456	3	4	http://www.foxterciaimobiliaria.com.br/imovel/174610/residencial-porto-alegre-bela-vista-apartamento-edificio-casablanca-3-dormitorios-zona-norte	2019-07-29
52	175346	745000	86.83	Bela Vista	Porto Alegre	Apartamento	Residencial	800	1830	2	2	http://www.foxterciaimobiliaria.com.br/imovel/175346/residencial-porto-alegre-bela-vista-apartamento-vue-du-park-2-dormitorios-zona-norte	2019-07-29
53	139152	NA	23	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/139152/residencial-porto-alegre-auxiliadora-apartamento-coorigha-1-dormitorios-zona-norte	2019-07-29
54	175050	399000	66.03	Auxiliadora	Porto Alegre	Apartamento	Residencial	250	930	1	1	http://www.foxterciaimobiliaria.com.br/imovel/175050/residencial-porto-alegre-auxiliadora-apartamento-residencial-felipe-neri-1-dormitorios-zona-norte	2019-07-29
55	175257	610000	43.13	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/175257/residencial-porto-alegre-auxiliadora-apartamento-ny-205-1-dormitorios-zona-norte	2019-07-29
56	170572	NA	190.46	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/170572/residencial-porto-alegre-bela-vista-apartamento-majesty-3-dormitorios-zona-norte	2019-07-29
57	174274	1400000	294.42	Bela Vista	Porto Alegre	Apartamento	Residencial	3882	6277	4	3	http://www.foxterciaimobiliaria.com.br/imovel/174274/residencial-porto-alegre-bela-vista-apartamento-edificio-bahamas-4-dormitorios-zona-norte	2019-07-29
58	174986	590000	102.7	Auxiliadora	Porto Alegre	Apartamento	Residencial	430	850	3	1	http://www.foxterciaimobiliaria.com.br/imovel/174986/residencial-porto-alegre-auxiliadora-apartamento-bordini-3-dormitorios-zona-norte	2019-07-29
59	174860	NA	136	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/174860/residencial-porto-alegre-auxiliadora-apartamento-germano-3-dormitorios-zona-norte	2019-07-29
60	174290	2100000	194	Bela Vista	Porto Alegre	Apartamento	Residencial	1500	5500	3	4	http://www.foxterciaimobiliaria.com.br/imovel/174290/residencial-porto-alegre-bela-vista-apartamento-monte-solaro-3-dormitorios-zona-norte	2019-07-29
61	174138	580000	95.8	Auxiliadora	Porto Alegre	Apartamento	Residencial	650	1200	3	1	http://www.foxterciaimobiliaria.com.br/imovel/174138/residencial-porto-alegre-auxiliadora-apartamento-edificio-saint-moritz-3-dormitorios-zona-norte	2019-07-29
62	173737	1810000	170	Mont Serrat	Porto Alegre	Apartamento	Residencial	1400	3500	4	3	http://www.foxterciaimobiliaria.com.br/imovel/173737/residencial-porto-alegre-mont-serrat-apartamento-condominio-edificio-solar-pedro-ivo-4-dormitorios-zona-norte	2019-07-29
63	174388	NA	84	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	2	http://www.foxterciaimobiliaria.com.br/imovel/174388/residencial-porto-alegre-mont-serrat-apartamento-las-condes-2-dormitorios-zona-norte	2019-07-29
64	174355	NA	126.37	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/174355/residencial-porto-alegre-mont-serrat-apartamento-exclusive-3-dormitorios-zona-norte	2019-07-29
65	173465	NA	74.79	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	2	2	http://www.foxterciaimobiliaria.com.br/imovel/173465/residencial-porto-alegre-auxiliadora-apartamento-premiere-2-dormitorios-zona-norte	2019-07-29
66	174906	NA	71.05	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	1	1	http://www.foxterciaimobiliaria.com.br/imovel/174906/residencial-porto-alegre-bela-vista-apartamento-edificio-juriti-1-dormitorios-zona-norte	2019-07-29
67	168662	198000	45.32	Auxiliadora	Porto Alegre	Apartamento	Residencial	180	486	1	1	http://www.foxterciaimobiliaria.com.br/imovel/168662/residencial-porto-alegre-auxiliadora-apartamento-la-pieta-1-dormitorios-zona-norte	2019-07-29
68	174225	NA	105.23	Mont'Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/174225/residencial-porto-alegre-auxiliadora-apartamento-residencial-dal-pozzolo-3-dormitorios-zona-norte	2019-07-29
69	153131	650000	130.75	Auxiliadora	Porto Alegre	Apartamento	Residencial	594	1800	3	1	http://www.foxterciaimobiliaria.com.br/imovel/153131/residencial-porto-alegre-auxiliadora-apartamento-edificio-aveiro-3-dormitorios-zona-norte	2019-07-29
70	174240	1500000	132.48	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/174240/residencial-porto-alegre-auxiliadora-apartamento-villa-del-fiori-residencial-3-dormitorios-zona-norte	2019-07-29
71	173983	NA	73	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	2	1	http://www.foxterciaimobiliaria.com.br/imovel/173983/residencial-porto-alegre-mont-serrat-apartamento-edificio-nivelle-2-dormitorios-zona-norte	2019-07-29
72	116747	699000	73.44	Bela Vista	Porto Alegre	Apartamento	Residencial	400	2000	2	2	http://www.foxterciaimobiliaria.com.br/imovel/116747/residencial-porto-alegre-bela-vista-apartamento-saint-paul-residence-2-dormitorios-zona-norte	2019-07-29
73	119652	816000	131.89	Bela Vista	Porto Alegre	Apartamento	Residencial	1001	1598	3	2	http://www.foxterciaimobiliaria.com.br/imovel/119652/residencial-porto-alegre-bela-vista-apartamento-maison-royale-3-dormitorios-zona-norte	2019-07-29
74	173039	320000	84.67	Auxiliadora	Porto Alegre	Apartamento	Residencial	594	1100	3	1	http://www.foxterciaimobiliaria.com.br/imovel/173039/residencial-porto-alegre-auxiliadora-apartamento-coorigha-3-dormitorios-zona-norte	2019-07-29
75	104286	1700000	142.13	Mont Serrat	Porto Alegre	Apartamento	Residencial	2150	3500	3	3	http://www.foxterciaimobiliaria.com.br/imovel/104286/residencial-porto-alegre-mont-serrat-apartamento-porto-mirador-3-dormitorios-zona-norte	2019-07-29
76	171640	945000	136.87	Mont Serrat	Porto Alegre	Apartamento	Residencial	1600	1200	3	2	http://www.foxterciaimobiliaria.com.br/imovel/171640/residencial-porto-alegre-mont-serrat-apartamento-edificio-palacio-mariland-3-dormitorios-zona-norte	2019-07-29
77	154151	210000	40.04	Bela Vista	Porto Alegre	Apartamento	Residencial	200	43	1	1	http://www.foxterciaimobiliaria.com.br/imovel/154151/residencial-porto-alegre-bela-vista-apartamento-windsor-1-dormitorios-zona-norte	2019-07-29
78	164613	NA	110	Bela Vista	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/164613/residencial-porto-alegre-bela-vista-apartamento-edificio-rovena-3-dormitorios-zona-norte	2019-07-29
79	173555	650000	124	Auxiliadora	Porto Alegre	Apartamento	Residencial	601	1756	3	1	http://www.foxterciaimobiliaria.com.br/imovel/173555/residencial-porto-alegre-auxiliadora-apartamento-edificio-alfalux-3-dormitorios-zona-norte	2019-07-29
80	172787	585000	74.29	Mont Serrat	Porto Alegre	Apartamento	Residencial	400	930	2	1	http://www.foxterciaimobiliaria.com.br/imovel/172787/residencial-porto-alegre-mont-serrat-apartamento-edificio-vila-rocaz-2-dormitorios-zona-norte	2019-07-29
81	142867	500000	74.785	Auxiliadora	Porto Alegre	Apartamento	Residencial	225	600	3	1	http://www.foxterciaimobiliaria.com.br/imovel/142867/residencial-porto-alegre-auxiliadora-apartamento-hortensia-3-dormitorios-zona-norte	2019-07-29
82	172799	930000	175.92	Mont Serrat	Porto Alegre	Apartamento	Residencial	1200	3500	3	2	http://www.foxterciaimobiliaria.com.br/imovel/172799/residencial-porto-alegre-mont-serrat-apartamento-santa-ilona-3-dormitorios-zona-norte	2019-07-29
83	162423	1417092	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162423/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
84	162393	1531071	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162393/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
85	162394	1540071	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	4	3	http://www.foxterciaimobiliaria.com.br/imovel/162394/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-4-dormitorios-zona-norte	2019-07-29
86	162395	1515095	111.68	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162395/residencial-porto-alegre-mont-serrat-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
87	162436	NA	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	2	http://www.foxterciaimobiliaria.com.br/imovel/162436/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
88	162437	NA	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162437/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
89	162439	1352001	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162439/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
