	price	area	district	condominium	iptu	rooms	box
0	670000.0	74.43	Mont Serrat	717.0	1400.0	2	1
1	990000.0	104.83	Bela Vista	800.0	3070.0	3	2
2	1750000.0	203.37	Bela Vista	1850.0	4500.0	4	3
3	1800000.0	138.79	Bela Vista	1100.0	3600.0	3	3
4	1925000.0	154.11	Auxiliadora	1000.0	4000.0	3	4
5	1900000.0	113.03	Auxiliadora	1400.0	4300.0	3	4
6	345000.0	72.0	Auxiliadora	430.0	1100.0	2	1
7	380000.0	64.2	Mont Serrat	299.0	554.0	2	1
8	850000.0	154.17	Bela Vista	1190.0	3806.0	3	2
9	2650000.0	165.33	Bela Vista	1800.0	4500.0	3	4
10	1400000.0	154.17	Bela Vista	1190.0	3806.0	3	3
11	1350000.0	197.86	Auxiliadora	2330.0	4800.0	3	3
12	355000.0	67.0	Bela Vista	180.0	773.0	1	1
13	299000.0	42.1	Bela Vista	270.0	700.0	1	1
14	1600000.0	179.5	Bela Vista	1400.0	2800.0	3	3
15	790000.0	121.18	Mont Serrat	798.0	2030.0	3	2
16	745000.0	86.83	Bela Vista	800.0	1830.0	2	2
17	399000.0	66.03	Auxiliadora	250.0	930.0	1	1
18	590000.0	102.7	Auxiliadora	430.0	850.0	3	1
19	2100000.0	194.0	Bela Vista	1500.0	5500.0	3	4
20	580000.0	95.8	Auxiliadora	650.0	1200.0	3	1
21	1810000.0	170.0	Mont Serrat	1400.0	3500.0	4	3
22	198000.0	45.32	Auxiliadora	180.0	486.0	1	1
23	650000.0	130.75	Auxiliadora	594.0	1800.0	3	1
24	699000.0	73.44	Bela Vista	400.0	2000.0	2	2
25	816000.0	131.89	Bela Vista	1001.0	1598.0	3	2
26	320000.0	84.67	Auxiliadora	594.0	1100.0	3	1
27	1700000.0	142.13	Mont Serrat	2150.0	3500.0	3	3
28	945000.0	136.87	Mont Serrat	1600.0	1200.0	3	2
29	210000.0	40.04	Bela Vista	200.0	43.0	1	1
30	650000.0	124.0	Auxiliadora	601.0	1756.0	3	1
31	585000.0	74.29	Mont Serrat	400.0	930.0	2	1
32	500000.0	74.785	Auxiliadora	225.0	600.0	3	1
33	930000.0	175.92	Mont Serrat	1200.0	3500.0	3	2
34	649000.0	70.74	Mont Serrat	700.0	1074.0	2	1
35	700000.0	109.0	Bela Vista	412.0	2000.0	3	1
36	580000.0	104.97	Auxiliadora	570.0	1537.0	3	1
37	1150000.0	180.83	Auxiliadora	800.0	1634.0	2	3
38	712000.0	93.32	Auxiliadora	600.0	1700.0	2	2
39	1399000.0	232.24	Bela Vista	2000.0	5200.0	3	3
40	660000.0	79.0	Bela Vista	690.0	1000.0	2	1
41	1450000.0	213.1	Mont Serrat	1350.0	5000.0	3	3
42	584000.0	47.78	Auxiliadora	550.0	1199.0	1	1
43	439000.0	82.93	Bela Vista	500.0	700.0	2	1
44	1330000.0	136.0	Auxiliadora	800.0	2500.0	3	3
